DOI,nouns
10.1103/PhysRevLett.124.120501,quantum computing|superconducting qubit|quantum gate|demonstration|phase|gate|error|qubit|fault|information|qubit|error|correction|function|state|qubit|space|gate|error|qubit|task|phase|gate|qubit|field|cavity|gate|cavity|evolution|state|cavity|phase|phase|gate|qubit|basis|state|state|implication|variable|computation|phase|gate|qubit|error|function
10.1126/sciadv.abb8780,quantum entanglement|quantum communication|quantum processor|photon|waveguide|quantum|electrodynamic|network|ability|process|node|photon|generation|photon|transmon|qubit|waveguide|photon|state|state|entanglement|photon|qubit|frequency|quadrature|amplitude|detection|moment|correlation|mode|state|preparation|fidelity|path|teleportation|protocol|photon|interference|waveguide|quantum|electrodynamic|architecture
10.1016/j.physe.2020.113967,entanglement|dynamic|emitter|molybdenum|disulfide|nanodisk|dynamic|entanglement|qubit|qubit|molybdenum|disulfide|nanodisk|dynamic|calculation|qubit|environment|space|decay|picosecond|regime|entanglement|dynamic|matter|interaction|qubit|reservoir|entanglement|dynamic|entanglement|formation|measure|entanglement|state|state|transition|frequency|orientation|transition|dipole|moment|qubit|radius|molybdenum|disulfide|nanodisk|distance|qubit|nanodisk|value|parameter|phenomena|evolution|entanglement|formation|entanglement|death|revival|entanglement|entanglement
10.1364/OPTICA.394138,oscillation|silicon|carbide|nanophotonic|silicon|carbide|sic|platform|photon|sic|variety|spin|qubit|absorption|photon|quality|factor|multimode|resonator|quality|factor|threshold|oscillation|mode|microcomb|order|mode|demonstration|milestone|device|property|sic|way|integration|photon|spin|quantum|technology|society|america|term|osa|access|publish|agreement
10.1038/s41598-020-61938-8,quantum dot|quantum dot|fredkin|gate|cavity|vacuum|noise|leakage|fredkin|gate|swap|gate|qubit|state|fredkin|gate|photon|qds|cavity|electron|spin|state|scheme|control|qubit|polarization|state|photon|electron|spin|state|qds|role|target|qubit|state|control|qubit|interaction|photon|electron|cavity|cavity|fredkin|gate|cavity|vacuum|noise|leakage|interaction|cavity|state|photon|scheme|fredkin|gate|feasibility|efficiency
10.1088/1361-6455/ab9273,photon|statistic|radiation|size|dicke|feature|photon|finite|size|dicke|photon|correlation|function|quantum|master|equation|state|dynamic|photon|qubit|transition|photon|qubit|photon|couple|strength|qubit|number|photon|correlation|function|temperature|bias|bath|photon|bunch|signature|qubit|photon|interaction
10.7567/1347-4065/ab5b62,quantum dot|quantum dot|fabrication|characterization|crystal|nanocavitie|electrode|gate|state|gate|scalability|controllability|electron|spin|qubit|candidate|quantum|spin|photon|interface|efficiency|spin|photon|interface|couple|gate|qds|crystal|phc|nanocavitie|step|couple|nanocavity|electrode|electrode|surface|phc|nanocavitie|position|accuracy|ten|nanometer|electrode|mode|phc|nanocavitie|photoluminescence|spectroscopy|step|couple|gate|qds|nanocavitie|japan|society|physics
10.1103/PhysRevApplied.14.064004,quantum state|quantum system|quantum processor|estimation|state|measurement|basis|probability|distribution|measurement|basis|measurement|projector|set|state|value|likelihood|function|measurement|projector|state|value|likelihood|function|estimate|state|state|measure|set|basis|viability|protocol|quantum|information|platform|path|encode|qubit|ibm|multipartite|scenario
10.1088/1367-2630/ab8e13,synthesis|fredkin|gate|cost|qubit|fredkin|gate|qubit|gate|cnot|gate|hilbert|space|cost|qubit|fredkin|gate|cnot|neighbor|cnot|construction|control|qubit|fredkin|gate|cnot|qudit|gate|qubit|fredkin|gate|architecture|cost|qubit|fredkin|gate|neighbor|cnot|success|gate|photon|detector|insight|gap|theoretical|qubit|quantum|computation
10.1103/PhysRevA.101.062314,waveguide|structure|computation|setup|generation|phase|eigenspace|proposal|form|term|waveguide|structure|number|photon|setup|degeneracy|eigenspace|scale|property|transformation|subspace|tripod|photon|degeneracy|subspace|analog|generation|qubit|manipulation|complexity|issue|computation|qubit|qubit|state|tripod|multipartite|structure|mode|structure|waveguide
10.1103/PhysRevA.101.032335,enhancement|entanglement|generation|feedback|dynamic|level|emitter|qubit|photon|waveguide|couple|qubit|waveguide|propagation|direction|light|finite|end|waveguide|mirror|feedback|entanglement|qubit|delay|feedback|delay|qubit|qubit|couple|regime|qubit|robustness|protocol|variation|parameter
10.3390/mi11121111,quantum circuit|quantum circuit|quantum communication|quantum simulation|bell state|bell state|laser|write|quantum|chip|path|quantum|chip|platform|computation|quantum|metrology|femtosecond|laser|write|fldw|quantum|chip|glass|logic|gate|fldw|polarization|path|quantum|cnot|gate|qubit|gate|qubit|gate|function|quantum|state|quantum|computation|fldw|quantum|chip|gate|cnot|gate|path|fidelity|truth|table|importance|potential|circuit|function
10.1038/s41567-019-0727-x,quantum circuit|quantum teleportation|quantum teleportation|quantum teleportation|chip|chip|entanglement|silicon|optic|platform|quantum|information|process|quantum|protocol|capability|quality|photon|photon|fidelity|demonstration|challenge|quality|source|operator|chip|quantum|task|demonstration|chip|chip|multipartite|entanglement|core|functionality|quantum|technology|silicon|circuit|photon|purity|indistinguishablity|array|microresonator|source|filter|qubit|linear|entanglement|projection|fusion|gate|generation|process|transceive|measurement|state|micrometre|scale|silicon|chip|metal|oxide|semiconductor|groundwork|scale|quantum|technology|communication|computation|photon|state|micrometre|scale|silicon|chip|basis|demonstration|chip|chip
10.1103/PhysRevX.10.021071,quantum dot|quantum communication|quantum repeater|quantum repeater|quantum repeater|cluster state|way|photon|emitter|interface|way|architecture|qubit|tree|cluster|information|transmission|loss|range|chain|repeater|station|way|conimunication|transmission|rate|protocol|process|communication|rate|repeater|qubit|quantum|emitter|repeater|station|feasibility|diamond|defect|center|semiconductor|nanostructure|repeater|station
10.1126/sciadv.aaw6664,quantum measurement|quantum measurement|quantum system|quantum device|self|prepare|measure|experiment|self|testing|form|certification|self|testing|datum|measurement|device|operator|measure|measure|scenario|space|dimension|self|qubit|measurement|practice|experiment|datum|measurement|ideal|outcome|qubit|datum|outcome|qubit|povm|perspective|device|certification
10.1364/OE.394050,quantum bit|quantum communication|quantum|distribution|receiver|user|photon|advantage|miniaturization|cost|cmos|compatibility|platform|distribution|qkd|integration|component|cost|qkd|photon|detector|spds|part|qkd|order|obstacle|spds|qkd|chip|user|chip|division|multiplexing|set|spds|user|qkd|proof|principle|chip|qkd|rate|kbps|user|error|rate|qber|distance|fiber|feasibility|spds|qkd|channel|user|chip|commercialization|technology|society|america|term|osa|access|publish|agreement
10.1088/1402-4896/ab6523,qubit|algorithm|chip|algorithm|chip|realization|component|qubit|gate|order|chip|architecture|algorithm|gate|coupler|imperfection|influence|scheme|parameter|tolerance|boundary|distortion|coupler|dimension
10.1016/j.physleta.2020.126933,thermalization|qubit|amplitude|gad|quantum|channel|interaction|qubit|environment|temperature|interaction|version|gad|interaction|thermalization|channel|bath|temperature|right
10.22331/q-2020-08-03-303,quantum computing|quantum computing|quantum system|quantum memory|state|encode|quantum|optic|error|detection|correction|prerequisite|architecture|inevitability|noise|propensity|error|computation|outcome|observation|choice|context|quantum|information|process|interest|optic|bosonsample|requirement|feed|control|definition|scenario|error|detection|correction|suspicion|error|obstacle|error|detection|state|encode|qubit|selection|term|architecture|interest|state|redundant|encode|suppression|noise|qubit|fan|style|gate|transform|network|today|protocol|noise|herald|failure|failure|probability|nonoise|limit|scheme|context|qubit|communication|channel|context|computation
10.1038/s41467-020-17053-3,superconducting qubit|quantum communication|quantum network|quantum system|quantum system|quantum processor|cavity|piezo|mechanic|nanophotonic|quantum|interface|hybrid|realization|piezo|mechanic|frequency|excitation|platform|telecommunication|channel|element|temperature|interaction|challenge|cavity|platform|ghz|phonon|photon|cavity|cavity|advantage|piezo|cooperativity|couple|pump|interaction|temperature|observation|microwave|photon|conversion|interface|step|scale|exploration|microwave|photon|entanglement|quantum|sense|gigahertz|phonon|hybrid|node|link|author|platform|ghz|phonon|photon|cavity|cavity|mediation|microwave|conversion
10.1142/S0217732320500467,quantum coherence|quantum coherence|squeeze|coherence|qubit|impact|environment|behavior|level|qubit|reservoir|temperature|type|environment|cavity|resonance|transition|frequency|qubit|band|gap|pbg|amount|coherence|structure|environment|memory|delay|revival|coherence|loss|place|detune|cavity|qubit|coherence|pbg|decrease|gap|width|coherence|hand|situation|squeeze|respect|parameter|dependence|parameter
10.1007/s10946-020-09883-9,quantum|extropy|property|radiation|field|binomial|distribution|formula|extropy|husimiq|function|atom|husimiq|function|quantum|extropy|entanglement|correlation|qubit|radiation|field|form|distribution|behavior|quantum|extropy|field|basis|tomographic|entropy|measure|correlation|field|qubit|photon|statistic|field|evolution|mandel|parameter|field|distribution|density|matrix|evolution|probability|distribution|behavior|photon|entanglement|context|link|behavior|quantum|extropy|tomographic|entropy|property|field|quantum|extropy|indicator|qubit|field|entanglement|quantum|extropy|field|basis|indicator|behavior|field
10.1038/s41534-020-00316-8,quantum computing|quantum computing|quantum communication|quantum network|quantum repeater|network|access|qubit|memory|qubit|memory|ingredient|protocol|situation|node|channel|interface|node|set|matter|qubit|channel|propagation|qubit|interface|couple|matter|qubit|vision|access|write|read|memory|photon|rubidium|atom|mode|cavity|setup|capability|memory|qubit|talk|need|initialization|write|read|attempt|write|read|efficiency|coherence|feature|node|build|block|internet
10.1038/s41467-020-18269-z,quantum network|microwave|telecom|photon|silicon|interface|loss|noise|interconnect|resource|entanglement|distillation|quantum|computation|circuit|microwave|domain|scalability|efficiency|conversion|noise|opportunity|silicon|photon|cavity|optomechanic|circuit|transducer|microwave|telecom|band|transduction|efficiency|millikelvin|temperature|couple|radiation|pressure|interaction|femtometer|scale|motion|silicon|nanobeam|pump|power|gain|conversion|efficiency|noise|gate|qubit|platform
10.1088/1367-2630/ab98d4,quantum network|quantum network|quantum network|neutral atom|quantum memory|nanophotonic|node|telecom|realization|distance|node|channel|challenge|node|atom|crystal|cavity|memory|qubit|interface|telecom|range|distance|distribution|entanglement|loss|fiber|protocol|generation|atom|photon|state|telecom|transition|state|atom|protocol|rubidium|cesium|atom|account|level|structure|property|crystal|cavity|fidelity|state|technology
10.1038/s41467-020-16996-x,superconducting qubit|superconducting qubit|quantum network|quantum system|chip|microwave|transduction|ytterbium|network|entanglement|framework|science|hardware|microwave|link|room|temperature|distance|connectivity|interface|information|microwave|field|microwave|transducer|noise|device|frequency|gigahertz|bandwidth|kilohertz|megahertz|challenge|proof|concept|chip|transducer|ion|yttrium|orthovanadate|waveguide|microwave|transmission|line|device|miniaturization|material|field|gate|advance|earth|ion|magneto|device|integration|quality|factor|microwave|resonator|transduction|opportunity|distance|interface|quantum|information|process|node|noise|microwave|conversion|author|ion|ensemble|yttrium|orthovanadate|transducer|potential|requirement
10.1103/PhysRevA.101.010302,quantum|clone|copy|state|mechanic|pseudo|clone|qubit|state|operator|state|respect|product|operator|hamiltonian|evolution|operator|ideal|cloner|applicability|universe|universe|evolution|state|clone|channel|universe|property|channel|universe|pseudo|qubit|clone|pseudo|qubit|universe|universe|gate|loss|pseudo|evolution|realization|class|operator|pseudo|clone
10.1364/OE.376914,quantum memory|ion|photon|qubit|swap|gate|ion|cavity|qed|couple|scheme|ion|photon|qubit|exchange|swap|gate|cavity|qed|ion|gate|photon|photon|arrival|qubit|couple|photon|rabi|frequency|rate|gate|duan|phase|gate|enhancement|atom|cooperativity|mode|volume|cavity|ion|difficulty|surface|cavity|trap|apparatus|aperture|mode|area|ion|position|parameter|gate|gate|fidelity|efficiency|photon|ion|qubit|exchange|build|block|quantum|computation|capability|society|term|common|license|distribution|attribution|article|title|journal|citation|doi
10.1007/s12043-020-01989-8,quantum entanglement|quantum communication|quantum state|entanglement|auger|ionisation|property|importance|information|theory|year|interest|impact|datum|entanglement|evanescent|property|interaction|environment|qubit|information|qudit|noise|robustness|qubit|article|entanglement|qudit|qubit|auger|emission|molecule|absorption|photon|spin|orbit|interaction|soi|absence|saunder|couple|couple|entanglement|property|basis|negativity|transpose|density|matrix|auger|ionisation|entanglement|spin|state|state|molecule|direction|spin|quantisation|ejection|auger|electron|variation|negativity|dichroism
10.1088/1612-202X/abbf46,quantum dot|quantum dot|polarization|converter|photon|microresonator|polarization|conversion|photon|semiconductor|mode|microresonator|rotation|angle|polarization|vector|orientation|axis|respect|one|parameter|conversion|regime|nanostructure|crystal|couple|electron|converter|structure|beam|splitter|quantum|gate|photon|qubit
10.1063/1.5139256,excitation|charge|state|conversion|silicon|vacancy|color|center|crystal|diamond|silicon|vacancy|siv|color|center|diamond|qubit|photon|control|excitation|siv|center|density|carrier|diamond|excitation|siv|center|crystal|diamond|membrane|architecture|switch|charge|state|siv|center|bias|voltage|diamond|membrane|device|position|charge|transition|level|find|perspective|trigger|color|center|diamond|nanophotonic|technology
10.1088/1367-2630/abb64a,quantum circuit|quantum entanglement|quantum state|gate|heart|mechanic|aspect|entanglement|entanglement|operator|spite|importance|scheme|gate|superposition|gate|probability|failure|qubit|gate|generalization|scheme|number|gate|number|qubit|simplicity|scheme|complexity|resource|insight|property|gate
10.3390/app10051661,quantum bit|self|phase|decoder|distribution|self|stabilization|quantum|distribution|qkd|faraday|magneto|qkd|faraday|michelson|qkd|article|channel|disturbance|decoder|qkd|device|benefit|integration|environment|decoder|quarter|wave|plate|reflector|michelson|interferometer|qkd|polarization|disturbance|channel|device|interferometer|polarization|signal|fade|operator|interferometer|pauli|matrix|condition|bin|phase|qkd|setup|qkd|setup|error|rate|telecommunication|fiber
10.1038/s41534-020-00323-9,quantum dot|quantum dot|quantum dot|quantum dot|quantum dot|resonant|excitation|nanowire|gaas|nanowire|candidate|photon|property|transition|platform|fabrication|device|potential|coherence|resonant|excitation|instance|demand|generation|photon|cluster|state|electron|spin|manipulation|emission|structure|excitation|scheme|biexciton|exciton|emission|photon|excitation|resonance|fluorescence|gaas|nanowire|excitation|scheme|bandgap|excitation|emission|nanowire
10.1103/PhysRevLett.124.223601,quantum communication|quantum network|control|nitrogen|vacancy|center|spin|silicon|carbide|room|temperature|state|color|center|manipulatable|spin|qubit|telecom|fluorescence|platform|computation|nitrogen|vacancy|center|spin|silicon|carbide|room|temperature|telecom|wavelength|emission|concentration|optimization|implantation|condition|control|center|spin|room|temperature|coherence|investigation|fluorescence|property|center|room|temperature|photon|source|telecom|range|advantage|material|experiment|center|silicon|carbide|platform|scale|quantum|photon|distance
10.1103/PhysRevLett.125.260504,quantum network|quantum memory|quantum memory|quantum memory|quantum memory|demand|quantum|storage|qubit|chip|waveguide|photon|core|element|information|process|qip|effort|waveguide|solid|demand|storage|qubit|requirement|qip|demand|storage|bin|qubit|chip|waveguide|memory|surface|crystal|frequency|comb|protocol|qubit|storage|fidelity|photon|level|pulse|fidelity|achievable|measure|demand|retrieval|capability|step|node
10.1103/PhysRevLett.125.240405,quantum system|quantum system|symmetry|break|error|correction|symmetry|transition|phenomenon|optic|matter|energy|physic|symmetry|part|state|symmetry|structure|lindbladian|symmetry|way|symmetry|transition|symmetry|phase|bit|state|structure|symmetry|phase|state|qubit|qubit|len|symmetry|break|information|gap|symmetric|error|recovery|number|photon|connection|phase|transition|error|correction
10.1103/PhysRevA.101.052326,quantum teleportation|quantum|information|fermionic|mode|primitive|information|process|task|setup|teleportation|information|mode|field|fermionic|superselection|rule|picture|entanglement|teleportation|mode|entanglement|swap|qubit|teleportation|authentication|entanglement|inequality|violation|detail|parity|superselection|particle|number|particle|number|superselection|consequence|interpretation|mode|entanglement|usefulness|state|teleportation
10.1038/s41586-020-2441-3,quantum computer|quantum communication|quantum network|quantum processor|quantum repeater|scale|integration|atom|circuit|challenge|range|distribution|entanglement|colour|centre|diamond|state|atom|demand|control|ancillae|qubit|minute|coherence|memory|step|number|atom|architecture|scale|quantum|information|process|effort|qubit|inhomogeneity|device|yield|device|requirement|yield|integration|waveguide|array|colour|centre|circuit|pic|channel|defect|array|germanium|vacancy|silicon|vacancy|colour|centre|aluminium|nitride|pic|photoluminescence|spectroscopy|term|linewidth|megahertz|megahertz|germanium|vacancy|silicon|vacancy|emitter|lifetime|linewidth|megahertz|megahertz|inhomogeneity|colour|centre|transition|situ|tune|gigahertz|degradation|ability|number|atom|phase|pic|step|purpose
10.1103/PhysRevA.101.052107,quantum error correction|quantum system|investigation|channel|addition|memory|channel|characterization|set|channel|dynamic|memory|markovian|memory|set|nonconvex|geometry|channel|memory|addition|memoryless|channel|nonconvexity|setup|qubit|combination|channel|divisibility|distinguishability|criterion|classification|memory|measure|consideration|account|memory|criterion|dynamic|addition|channel|experiment
10.1103/PhysRevA.102.022214,quantum system|violation|leggett|garg|inequality|maximum|qubit|leggett|garg|macrorealism|state|state|class|inequality|macrorealism|mechanic|degree|inequality|tsirelson|bind|variant|leggett|garg|inequality|maximum|number|measurement|test|violation|variant|leggett|garg|inequality|tsirelson|bind|measurement|scenario|qubit|advantage|measurement|scenario
10.1126/science.abc7821,quantum system|shoot|measurement|control|state|spin|diffraction|state|spin|defect|platform|science|technology|realization|scale|state|defect|fidelity|control|defect|separation|spin|spin|interaction|logic|gate|creation|state|frequency|domain|multiplexing|fidelity|initialization|shoot|spin|measurement|earth|ion|subwavelength|volume|silicon|crystal|cavity|subwavelength|control|spin|rotation|shift|number|ion|separation|step|defect|ensemble|information|process|body|dynamic
10.1038/s41534-020-0281-5,quantum entanglement|quantum network|multipartite|entanglement|correlation|set|measurement|number|condition|communication|multiparty|noise|channel|orientation|reference|frame|quality|state|fluctuation|information|state|entanglement|measurement|correlation|subset|measurement|outcome|distribution|information|entanglement|structure|state|criterion|qubit|state|evidence|multipartite|entanglement|qubit|purity|state|account|moment|correlation|feature|theory|qubit|rate|entanglement|generation|speed|fluctuation|type|strength|noise
10.1364/OPTICA.408611,inverse|photon|extractor|qubit|state|defect|qubit|spin|photon|interface|promise|information|metrology|photon|collection|efficiency|challenge|defect|qubit|index|host|material|inverse|optimization|device|flexibility|parameter|spin|photon|interface|response|photon|polarization|collection|mode|constraint|fabrication|tolerance|material|process|limitation|gallium|phosphide|diamond|inverse|planar|dielectric|structure|surface|nitrogen|vacancy|center|implantation|anneal|broadband|enhancement|photon|extraction|efficiency|agreement|simulation|inverse|device|realization|array|photon|emitter|characterization|quantum|emitter|sense|entanglement|scheme|society|america|term|osa|access|publish|agreement
10.1103/PhysRevLett.125.150401,quantum state|quantum state|quantum system|quantum system|quantum system|quantum system|quantum system|geometry|level|quantum|mechanic|geometry|tool|behavior|property|geometry|space|space|measurement|observable|success|level|qubit|bloch|sphere|representation|geometry|experiment|geometry|projection|qubit|range|triple|observable|level|classification|range|geometry|class|ground|state|degeneracy|hamiltonian|combination|observable|phase|limit|property
10.1038/s41534-020-00317-7,quantum state|quantum state|quantum state|quantum device|standardization|verification|state|device|qubit|state|verification|measurement|nonadaptive|feed|gate|adaptive|platform|number|copy|confidence|target|adaptive|scale|infidelity|epsilon|function|epsilon|parameter|limit|parameter|procedure|verification
10.1007/s10773-020-04658-z,quantum communication|quantum communication|quantum repeater|error|generation|fidelity|hyperentanglement|polarization|degree|freedom|quantum|dot|spin|hyperentanglement|photon|degree|freedom|dof|information|process|capacity|photon|qubit|bin|dof|distance|transmission|channel|entanglement|state|generation|hbsg|scheme|photon|qubit|state|polarization|mode|dof|scheme|error|circuit|unit|quantum|dot|spin|microcavity|error|interaction|photon|error|circuit|unit|requirement|fidelity|scheme|scheme|photon|state|polarization|dof|entanglement|distribution|feature|scheme|capacity|distance|hyperentanglement
10.1021/acs.nanolett.9b04495,generation|vacancy|center|diamond|ion|implantation|diamond|overgrowth|group|color|center|diamond|interest|potential|state|spin|qubit|utilization|emitter|site|emitter|generation|quality|nanophotonic|device|task|color|center|group|impurity|atom|spin|coherence|dilution|refrigerator|vacancy|center|site|color|center|generation|diamond|surface|bulk|spectra|feature|site|center|spectra|ion|implantation|mask|layer|diamond|vapor|deposition|color|center|quantum|device|fabrication
10.1103/PhysRevLett.125.180503,quantum system|entanglement|multipartite|entanglement|inequality|circuit|quantum|correlation|observable|interest|role|information|process|signature|correlation|violation|entanglement|inequality|multipartite|hybrid|entanglement|variable|partite|state|transmon|qubit|qubit|field|microwave|cavity|correlation|element|tomography|cavity|field|detection|qubit|test|partite|entanglement|inequality|entanglement|signal|bind|partite|entanglement|correlation|deviation|partite|entanglement|hybrid
10.1103/PhysRevA.101.022112,pearson|correlation|coefficient|measure|entanglement|scheme|entanglement|measure|correlation|pearson|correlation|coefficient|qubit|scheme|state|step|negativity|entanglement|state|qutrit|efficacy|entanglement|scheme|range|qutrit|state|combination|pccs|number|measurement|purpose|issue|certification|quantification|entanglement|qutrit|state|state|noise|noise|form|class|state|extension|dimension
10.1038/s41467-020-16189-6,quantum network|quantum network|quantum network|quantum network|violation|locality|star|launch|satellite|entanglement|distance|loophole|violation|entanglement|inequality|milestone|path|establishment|nonlocality|network|entanglement|source|network|violation|bilocality|inequality|platform|star|node|entanglement|source|platform|locality|inequality|witness|device|way|emergence|correlation|node|network|perspective|information|process|regime|correlation|independence|source|account|type|correlation|experiment|source|author|locality|inequality|network|node|source|qubit|measurement
10.1103/PhysRevX.10.021021,quantum device|crystal|josephson|wave|parametric|amplifier|microwave|amplifier|noise|limit|saturation|power|state|quantum|technology|wave|amplifier|interference|device|ghz|bandwidth|dbm|saturation|compression|point|noise|quantum|limit|state|art|order|magnitude|impedance|situ|tunable|fabrication|lithography|step|key|engineering|gap|dispersion|relation|transmission|line|modulation|size|crystal|treatment|nontrivial|interplay|nonlinearity|periodicity|path|cointegration|qubit|footprint|fabrication|amplifier
10.1007/s11467-019-0949-5,state|state|qubit|circuit|qed|quantum|state|state|qubit|cqubit|microwave|cavity|microwave|cavity|proposal|microwave|cavity|flux|qutrit|cavity|frequency|crosstalk|coupler|qutrit|circuit|resource|entanglement|transfer|step|gate|proposal|energy|level|coupler|qutrit|state|transfer|decoherence|energy|level|simulation|fidelity|transfer|cqubit|state|transmission|line|resonator|transmission|line|resonator|circuit|qed|technology|proposal|task|range|microwave|cavity|level|atom
10.1103/PhysRevA.102.063721,quantum phase transition|criticality|rabi|finite|frequency|ratio|criticality|rabi|ratio|qubit|cavity|frequency|term|energy|gap|order|parameter|fidelity|couple|strength|cavity|frequency|exponent|energy|gap|length|exponent|rabi|dicke|size|order|parameter|fidelity|susceptibility|behavior|size|exponent|behavior|term|bosonic|hilbert|space|truncation|number|scale|exponent|correlation|length|exponent|term|truncation|number|length|scale|rabi|rabi|universality|class|order|rabi|finite|frequency|ratio|contrast|frequency|ratio|quantum|rabi|couple
10.1002/qute.202000063,quantum circuit|quantum circuit|quantum circuit|quantum circuit|amount|qubit|rotation|vqe|algorithm|advent|algorithm|parameterized|question|algorithm|circuit|number|qubit|rotation|parameterized|expressibility|capability|circuit|quantum|eigensolver|vqe|decrease|qubit|rotation|expressibility|capability|number|qubit|parameterized|qudit|platform|quantum|algorithm|rarity|literature|quantum|frequency|comb|photon|platform|algorithm|expressibility|capability
10.1103/PhysRevA.101.032315,quantum device|progress|qubit|computation|code|qubit|degree|freedom|oscillator|path|error|quantum|computation|way|gkp|grid|state|symmetry|correction|error|oscillator|grid|state|energy|energy|approximation|half|impact|gkp|state|circuit|architecture|end|behavior|content|gkp|state|figure|merit|subsystem|decomposition|error|circuit|imperfection|gkp|state|utility|state|scale|half|state|preparation|domain|photon|number|measurement|mode|state|state|preparation|gkp|state|resource|requirement|set|quality|state|tool|experiment|state|gkp|bloch|sphere|resource|implication|state|preparation|overhead
